카테고리1,카테고리2,대표도시 국가,대표도시,판매가격,하나허브 마스터코드,마스터 상품코드,마스터 상품명
트립,시내관광,싱가포르,싱가포르,6720,ASF901,MHJ-PRD35E984IX2,[싱가포르] 데이투어C (주요코스: 머라이언+내셔널갤러리+부기스+하지레인+스카이팍+가바베1돔)
트립,시내관광,싱가포르,싱가포르,6720,ASF901,MHJ-PRD35E98CHZQ,[싱가포르] 핵심시티 & 야경 완판왕: 내셔널갤러리&강변+머라이언공원+리버보트+스펙트라+랩소디+사테거리+루프탑
트립,시내관광,싱가포르,싱가포르,6720,ASF901,MHJ-PRD35EFAIUN5,[싱가포르] 카통 파스텔톤의 페라나칸 하우스 골목걷고 이스트 코스트 공원에서 자전거 타기
골프,골프장 예약,일본,후쿠오카,664950,JQF014,MHJ-PRD0ED99XM6P,[일본] 규슈 센트럴 후쿠오카 골프 클럽 |골프장예약 |골프부킹
골프,골프장 예약,일본,후쿠오카,664950,JQF014,MHJ-PRD0ED99Y5DG,[일본] 규슈 니죠 컨트리 클럽 |후쿠오카 |골프장예약 |골프부킹
골프,골프장 예약,일본,후쿠오카,664950,JQF014,MHJ-PRD0ED99Y9BU,[일본] 카호 골프 클럽 |후쿠오카 |골프장예약 |골프부킹
골프,골프장 예약,일본,오사카,664950,JQF014,MHJ-PRD1632D7TTZ,[일본] 한나 컨트리클럽 |오사카 |골프장예약 |골프부킹
골프,골프장 예약,일본,오사카,664950,JQF014,MHJ-PRD1632DQLSX,[일본] 키사이치 컨트리클럽 |오사카 |골프장예약 |골프부킹
골프,골프장 예약,일본,오사카,664950,JQF014,MHJ-PRD18A3DBHZH,[일본] 기시와다 컨트리클럽 |오사카 |골프장예약 |골프부킹
골프,골프장 예약,일본,도쿄,664950,JQF014,MHJ-PRD1D5A2MASN,[일본] 후소 컨트리클럽 [PGM] |이바라키 |골프장예약 |골프부킹
골프,골프장 예약,일본,후쿠오카,664950,JQF014,MHJ-PRD1D7F9I3XT,[일본] 후쿠오카 페잔트 골프클럽 |후쿠오카 |골프장예약 |골프부킹
골프,골프장 예약,일본,후쿠오카,664950,JQF014,MHJ-PRD1D7F9VGON,[일본] 히사야마 컨트리클럽 |후쿠오카 |골프장예약 |골프부킹
골프,골프장 예약,일본,오사카,664950,JQF014,MHJ-PRD1D85DIKII,[일본] 도조 파인밸리 골프클럽 |오사카 |골프장예약 |골프부킹
골프,골프장 예약,일본,오사카,664950,JQF014,MHJ-PRD1D85DMXR6,[일본] 미사키 컨트리클럽 |오사카 |골프장예약 |골프부킹
골프,골프장 예약,일본,도쿄,664950,JQF014,MHJ-PRD1FCB293NR,[일본] 신세이잔소 골프클럽 |이바라키 |골프장예약 |골프부킹
골프,골프장 예약,일본,후쿠오카,664950,JQF014,MHJ-PRD1FF091HAB,[일본] 뉴 유아이 골프 클럽 |후쿠오카 |골프장예약 |골프부킹
골프,골프장 예약,일본,후쿠오카,664950,JQF014,MHJ-PRD1FF095MKL,[일본] 문레이크 골프클럽 쿠라테 코스 |후쿠오카 |골프장예약 |골프부킹
